id,Date,Open,High,Low,Close,Volume,Futureprice
8641,2021-11-22-23-59,56308.16,56327.96,56294.11,56294.11,0.05997,56267.0
8642,2021-11-22-23-58,56331.35,56336.01,56284.9,56284.9,0.08489,56294.11
8643,2021-11-22-23-57,56374.09,56387.82,56322.95,56352.37,1.25981661,56284.9
8644,2021-11-22-23-56,56355.96,56419.94,56352.3,56419.94,0.39156696,56352.37
8645,2021-11-22-23-55,56423.55,56423.55,56385.29,56385.29,0.04286,56419.94
8646,2021-11-22-23-54,56424.15,56424.15,56403.98,56423.55,0.06551,56385.29
8647,2021-11-22-23-53,56421.37,56421.37,56413.18,56418.83,0.23094,56423.55
8648,2021-11-22-23-52,56380.59,56425.09,56380.59,56410.79,3.53008325,56418.83
8649,2021-11-22-23-51,56387.57,56394.59,56377.87,56380.44,0.1253861,56410.79
8650,2021-11-22-23-50,56438.14,56456.4,56392.04,56392.04,1.57610069,56380.44
8651,2021-11-22-23-49,56426.71,56444.2,56418.74,56437.04,0.30469543,56392.04
8652,2021-11-22-23-48,56414.89,56421.77,56377.87,56401.27,11.73810574,56437.04
8653,2021-11-22-23-47,56291.06,56432.78,56260.0,56432.78,8.70027147,56401.27
8654,2021-11-22-23-46,56284.0,56285.5,56260.0,56261.91,0.41944073,56432.78
8655,2021-11-22-23-45,56349.22,56349.22,56317.92,56342.63,0.31305993,56261.91
8656,2021-11-22-23-44,56380.73,56381.69,56329.8,56330.15,0.15016442,56342.63
8657,2021-11-22-23-43,56364.04,56364.04,56364.04,56364.04,1.19265,56330.15
8658,2021-11-22-23-42,56329.8,56329.8,56324.15,56329.71,0.04256,56364.04
8659,2021-11-22-23-41,56360.76,56360.76,56332.94,56332.94,0.02639,56329.71
8660,2021-11-22-23-40,56368.0,56387.6,56347.65,56362.18,4.49506642,56332.94
8661,2021-11-22-23-39,56412.14,56413.63,56302.23,56362.77,1.82510231,56362.18
8662,2021-11-22-23-38,56375.91,56408.34,56375.91,56408.34,0.01049,56362.77
8663,2021-11-22-23-37,56343.03,56374.5,56343.02,56343.02,1.57973883,56408.34
8664,2021-11-22-23-36,56350.56,56365.37,56307.0,56307.0,0.14221447,56343.02
8665,2021-11-22-23-35,56414.96,56423.59,56376.63,56376.63,0.30886059,56307.0
8666,2021-11-22-23-34,56427.58,56427.58,56353.56,56403.51,0.2171,56376.63
8667,2021-11-22-23-33,56465.03,56485.65,56440.43,56440.43,0.24038035,56403.51
8668,2021-11-22-23-32,56471.78,56472.86,56467.03,56467.03,0.01467,56440.43
8669,2021-11-22-23-31,56461.63,56491.98,56458.63,56458.63,0.02888,56467.03
8670,2021-11-22-23-30,56431.01,56457.94,56431.01,56457.94,0.08518,56458.63
8671,2021-11-22-23-29,56420.37,56449.88,56420.37,56447.22,0.04508587,56457.94
8672,2021-11-22-23-28,56376.63,56410.61,56376.63,56410.61,0.40817,56447.22
8673,2021-11-22-23-27,56359.65,56409.82,56359.65,56368.14,0.14933379,56410.61
8674,2021-11-22-23-26,56401.84,56401.84,56332.63,56357.73,0.97213746,56368.14
8675,2021-11-22-23-25,56374.03,56404.97,56365.02,56401.84,0.08887143,56357.73
8676,2021-11-22-23-24,56368.6,56413.67,56368.6,56413.67,0.13743037,56401.84
8677,2021-11-22-23-23,56424.43,56424.43,56350.0,56356.46,1.59787893,56413.67
8678,2021-11-22-23-22,56434.31,56449.58,56404.0,56438.21,7.12421913,56356.46
8679,2021-11-22-23-21,56525.34,56532.75,56450.0,56467.81,0.43428418,56438.21
8680,2021-11-22-23-20,56497.77,56552.89,56497.77,56525.34,0.09553181,56467.81
8681,2021-11-22-23-19,56495.05,56522.27,56495.05,56496.91,0.19915051,56525.34
8682,2021-11-22-23-18,56504.15,56504.15,56495.05,56495.05,1.53667,56496.91
8683,2021-11-22-23-17,56486.96,56486.96,56433.22,56458.29,0.08685428,56495.05
8684,2021-11-22-23-16,56470.82,56480.8,56448.13,56449.94,0.02902,56458.29
8685,2021-11-22-23-15,56522.77,56530.73,56446.75,56451.36,0.26180944,56449.94
8686,2021-11-22-23-14,56485.25,56551.29,56485.25,56549.75,1.36476763,56451.36
8687,2021-11-22-23-13,56510.78,56524.92,56485.25,56485.25,0.06743,56549.75
8688,2021-11-22-23-12,56489.17,56530.24,56453.21,56513.8,5.37099,56485.25
8689,2021-11-22-23-11,56449.86,56497.14,56449.86,56476.14,0.05959415,56513.8
8690,2021-11-22-23-10,56418.05,56453.58,56399.99,56453.58,32.54693676,56476.14
